model,threshold,audio_hours,files,false_positives,fp_per_hour
hey_chief,0.5,2.0007,257,0,0.0000
hey_bender,0.5,2.0007,257,0,0.0000
hey_anya,0.5,2.0007,257,2,0.9996
hey_ara,0.5,2.0007,257,10,4.9982
hey_cortana,0.5,2.0007,257,0,0.0000
hey_count,0.5,2.0007,257,106,52.9807
hey_god,0.5,2.0007,257,0,0.0000
hey_frieren,0.5,2.0007,257,2,0.9996
hey_dracula,0.5,2.0007,257,0,0.0000
hey_goddess,0.5,2.0007,257,0,0.0000
hey_goku,0.5,2.0007,257,0,0.0000
hey_jinwoo,0.5,2.0007,257,0,0.0000
hey_knight,0.5,2.0007,257,2,0.9996
hey_naruto,0.5,2.0007,257,0,0.0000
hey_pervy_sage,0.5,2.0007,257,0,0.0000
hey_rimuru,0.5,2.0007,257,0,0.0000
hey_rudeus,0.5,2.0007,257,0,0.0000
hey_saitama,0.5,2.0007,257,0,0.0000
hey_veldora,0.5,2.0007,257,0,0.0000
hey_spongebob,0.5,2.0007,257,0,0.0000
hey_santa,0.5,2.0007,257,0,0.0000
hey_yuji_itadori,0.5,2.0007,257,0,0.0000
hey_witch,0.5,2.0007,257,2,0.9996
ok_anya,0.5,2.0007,257,0,0.0000
ok_bender,0.5,2.0007,257,0,0.0000
ok_ara,0.5,2.0007,257,18,8.9967
ok_chief,0.5,2.0007,257,1,0.4998
ok_cortana,0.5,2.0007,257,0,0.0000
ok_count,0.5,2.0007,257,0,0.0000
ok_dracula,0.5,2.0007,257,0,0.0000
ok_frieren,0.5,2.0007,257,12,5.9978
ok_god,0.5,2.0007,257,0,0.0000
ok_goddess,0.5,2.0007,257,0,0.0000
ok_goku,0.5,2.0007,257,0,0.0000
ok_jinwoo,0.5,2.0007,257,0,0.0000
ok_knight,0.5,2.0007,257,3,1.4995
ok_pervy_sage,0.5,2.0007,257,0,0.0000
ok_naruto,0.5,2.0007,257,0,0.0000
ok_rimuru,0.5,2.0007,257,0,0.0000
ok_rudeus,0.5,2.0007,257,0,0.0000
ok_saitama,0.5,2.0007,257,0,0.0000
ok_santa,0.5,2.0007,257,0,0.0000
ok_spongebob,0.5,2.0007,257,0,0.0000
ok_veldora,0.5,2.0007,257,0,0.0000
ok_witch,0.5,2.0007,257,0,0.0000
ok_yuji_itadori,0.5,2.0007,257,0,0.0000
