model,threshold,audio_hours,files,false_positives,fp_per_hour
hey_anya,0.5,0.6674,88,108,161.86
hey_ara,0.5,0.6674,88,45,67.44
hey_knight,0.5,0.6674,88,33,49.46
hey_witch,0.5,0.6674,88,29,43.46
ok_anya,0.5,0.6674,88,20,29.97
ok_my_goddess,0.5,0.6674,88,13,19.48
ok_knight,0.5,0.6674,88,12,17.98
hey_count,0.5,0.6674,88,10,14.99
ok_ara,0.5,0.6674,88,8,11.99
ok_dracula,0.5,0.6674,88,8,11.99
ok_witch,0.5,0.6674,88,8,11.99
hey_naruto,0.5,0.6674,88,7,10.49
hey_dracula,0.5,0.6674,88,6,8.99
ok_cortana,0.5,0.6674,88,4,5.99
hey_pervy_sage,0.5,0.6674,88,3,4.5
hey_santa,0.5,0.6674,88,3,4.5
ok_frieren,0.5,0.6674,88,3,4.5
ok_santa,0.5,0.6674,88,3,4.5
ok_naruto,0.5,0.6674,88,2,3.0
hey_frieren,0.5,0.6674,88,1,1.5
hey_goku,0.5,0.6674,88,1,1.5
hey_jinwoo,0.5,0.6674,88,1,1.5
ok_bender,0.5,0.6674,88,1,1.5
ok_count,0.5,0.6674,88,1,1.5
hey_chief,0.5,0.6674,88,0,0.0
hey_bender,0.5,0.6674,88,0,0.0
hey_cortana,0.5,0.6674,88,0,0.0
hey_god,0.5,0.6674,88,0,0.0
hey_goddess,0.5,0.6674,88,0,0.0
hey_rimuru,0.5,0.6674,88,0,0.0
hey_rudeus,0.5,0.6674,88,0,0.0
hey_saitama,0.5,0.6674,88,0,0.0
hey_spongebob,0.5,0.6674,88,0,0.0
hey_veldora,0.5,0.6674,88,0,0.0
hey_yuji_itadori,0.5,0.6674,88,0,0.0
ok_chief,0.5,0.6674,88,0,0.0
ok_god,0.5,0.6674,88,0,0.0
ok_goddess,0.5,0.6674,88,0,0.0
ok_goku,0.5,0.6674,88,0,0.0
ok_jinwoo,0.5,0.6674,88,0,0.0
ok_pervy_sage,0.5,0.6674,88,0,0.0
ok_rimuru,0.5,0.6674,88,0,0.0
ok_rudeus,0.5,0.6674,88,0,0.0
ok_saitama,0.5,0.6674,88,0,0.0
ok_spongebob,0.5,0.6674,88,0,0.0
ok_veldora,0.5,0.6674,88,0,0.0
ok_yuji_itadori,0.5,0.6674,88,0,0.0
