model,threshold,audio_hours,files,false_positives,fp_per_hour
hey_anya,0.5,0.6673,88,73,109.4037
hey_witch,0.5,0.6673,88,6,8.9921
hey_ara,0.5,0.6673,88,70,104.9077
hey_knight,0.5,0.6673,88,18,26.9763
ok_anya,0.5,0.6673,88,20,29.9736
hey_count,0.5,0.6673,88,207,310.2270
ok_knight,0.5,0.6673,88,19,28.4749
ok_ara,0.5,0.6673,88,18,26.9763
ok_dracula,0.5,0.6673,88,11,16.4855
hey_naruto,0.5,0.6673,88,0,0.0000
hey_dracula,0.5,0.6673,88,55,82.4275
ok_witch,0.5,0.6673,88,1,1.4987
ok_cortana,0.5,0.6673,88,0,0.0000
